2017,2018,2019,2020,2021,2022,GDP_MD_EST,ISO_A2,POP_RANK,ISO_A3,CONTINENT,POP_EST,INCOME_GRP,SUBREGION,system:index,NAME
6900.839215686276,8345.70980392157,6293.945098039216,6026.882352941177,7079.513725490195,7741.666666666668,66010.0,CD,16,COD,Africa,83301151,5. Low income,Middle Africa,0000000000000000000b,Dem. Rep. Congo
19867.69411764706,17239.431372549014,16109.882352941182,19053.890196078428,19242.509803921566,21446.19215686274,30590.0,TD,14,TCD,Africa,12075985,5. Low income,Middle Africa,0000000000000000000f,Chad
367.44705882352935,518.8823529411766,584.9019607843138,717.3568627450982,684.1333333333333,1123.4039215686278,3206.0,CF,13,CAF,Africa,5625118,5. Low income,Middle Africa,00000000000000000042,Central African Rep.
46288.98823529411,45339.407843137255,50564.79215686274,55603.46274509805,58286.588235294126,65641.95294117648,150600.0,TZ,16,TZA,Africa,53950935,5. Low income,Eastern Africa,00000000000000000001,Tanzania
6913.113725490196,8625.537254901961,8530.376470588237,11638.392156862748,9955.882352941182,7949.270588235295,4719.0,SO,13,SOM,Africa,7531386,5. Low income,Eastern Africa,0000000000000000000c,Somalia
51950.41960784318,54464.6666666667,52557.137254901994,51214.95686274513,51085.75686274513,53167.96862745101,152700.0,KE,15,KEN,Africa,47615739,5. Low income,Eastern Africa,0000000000000000000d,Kenya
19770.349019607846,22166.964705882354,29371.686274509804,22390.682352941178,19896.317647058822,23081.074509803922,28330.0,ZW,14,ZWE,Africa,13805084,5. Low income,Eastern Africa,00000000000000000030,Zimbabwe
13378.388235294115,12649.905882352938,13557.635294117641,15109.921568627447,15751.917647058817,18469.337254901962,21200.0,MW,14,MWI,Africa,19196246,5. Low income,Eastern Africa,00000000000000000047,Malawi
11364.996078431373,9807.30196078431,11458.160784313724,13920.40392156863,12933.835294117647,15343.78039215687,35010.0,MZ,15,MOZ,Africa,26573706,5. Low income,Eastern Africa,00000000000000000048,Mozambique
1124.8823529411768,2266.713725490197,1711.6862745098042,1685.176470588235,2578.8980392156855,3778.184313725489,7892.0,BI,14,BDI,Africa,11466756,5. Low income,Eastern Africa,0000000000000000004b,Burundi
21482.086274509802,22785.97254901961,22934.592156862745,25071.96862745098,24145.89019607843,33372.933333333334,36860.0,MG,15,MDG,Africa,25054161,5. Low income,Eastern Africa,0000000000000000004e,Madagascar
1161.662745098039,948.3411764705882,1693.1019607843136,1430.3568627450977,1964.521568627451,1536.4549019607844,9169.0,ER,13,ERI,Africa,5918919,5. Low income,Eastern Africa,00000000000000000099,Eritrea
182982.47058823536,184900.72156862752,188915.46274509814,184977.78823529408,196139.1176470588,197514.09019607844,174700.0,ET,17,ETH,Africa,105350020,5. Low income,Eastern Africa,000000000000000000a3,Ethiopia
30489.95294117647,30199.75294117647,30982.643137254898,33253.70980392156,36114.580392156866,42558.376470588235,84930.0,UG,15,UGA,Africa,39570125,5. Low income,Eastern Africa,000000000000000000a6,Uganda
4353.094117647061,6166.074509803921,6254.678431372549,7454.211764705879,6842.278431372547,8054.113725490194,21970.0,RW,14,RWA,Africa,11901484,5. Low income,Eastern Africa,000000000000000000a7,Rwanda
1339.8039215686274,1483.6196078431371,2148.0392156862745,1591.1254901960785,1886.5372549019608,1512.3254901960786,20880.0,SS,14,SSD,Africa,13026129,5. Low income,Eastern Africa,000000000000000000ae,S. Sudan
11742.360784313725,11805.898039215686,11542.03137254902,11917.46274509804,13642.23137254902,11887.870588235293,38090.0,ML,14,MLI,Africa,17885245,5. Low income,Western Africa,00000000000000000034,Mali
