2017,2018,2019,2020,2021,2022,GDP_MD_EST,ISO_A2,POP_RANK,ISO_A3,CONTINENT,POP_EST,INCOME_GRP,SUBREGION,system:index,NAME
23432.180392156864,24686.168627450985,30984.505882352947,25659.38823529412,27086.28627450981,32685.41568627451,65170.0,ZM,14,ZMB,Africa,15972000,4. Lower middle income,Eastern Africa,00000000000000000046,Zambia
10.0,28.0,13.0,36.984313725490196,55.23137254901961,176.06666666666666,3345.0,DJ,11,DJI,Africa,865267,4. Lower middle income,Eastern Africa,000000000000000000a4,Djibouti
476.8274509803922,215.56470588235294,214.05882352941177,542.3333333333333,858.2352941176471,586.8980392156863,12250.0,-99,12,-99,Africa,3500000,4. Lower middle income,Eastern Africa,000000000000000000a5,Somaliland
16941.078431372545,13848.243137254902,13821.019607843136,15070.654901960783,18933.81176470588,16976.341176470585,39720.0,SN,14,SEN,Africa,14668522,4. Lower middle income,Western Africa,00000000000000000033,Senegal
67123.41568627454,79480.36078431374,85869.63529411769,74083.3019607843,83971.54117647058,74030.30588235296,1089000.0,NG,17,NGA,Africa,190632261,4. Lower middle income,Western Africa,00000000000000000038,Nigeria
4028.952941176471,3753.294117647058,5253.5568627450975,5865.050980392157,6466.7764705882355,8384.427450980393,120800.0,GH,15,GHA,Africa,27499924,4. Lower middle income,Western Africa,0000000000000000003b,Ghana
3046.2862745098037,3753.5058823529407,4331.262745098039,4131.988235294118,5135.98431372549,5209.658823529412,87120.0,CI,15,CIV,Africa,24184810,4. Lower middle income,Western Africa,0000000000000000003c,Côte d'Ivoire
63160.415686274515,63711.72156862745,74869.61176470589,76809.92941176471,92722.10588235295,91432.51764705882,176300.0,SD,15,SDN,Africa,37345935,4. Lower middle income,Northern Africa,0000000000000000000e,Sudan
68693.58823529413,76205.45882352942,70559.75686274511,66535.96862745099,71739.53725490197,62455.725490196084,282800.0,MA,15,MAR,Africa,33986655,4. Lower middle income,Northern Africa,000000000000000000a0,Morocco
43638.37254901962,44483.764705882364,45166.84313725492,45488.72941176472,46284.53333333334,47156.164705882366,1105000.0,EG,16,EGY,Africa,97041072,4. Lower middle income,Northern Africa,000000000000000000a1,Egypt
3289.854901960784,3775.3058823529414,3797.3215686274507,4206.8196078431365,3169.2627450980385,3580.2196078431366,6019.0,LS,12,LSO,Africa,1958042,4. Lower middle income,Southern Africa,0000000000000000001a,Lesotho
2556.6588235294116,2951.2862745098037,2200.9098039215687,2838.623529411765,2246.33725490196,2431.0235294117642,11060.0,SZ,12,SWZ,Africa,1467152,4. Lower middle income,Southern Africa,00000000000000000049,eSwatini
8.0,8.0,5.0,5.0,10.0,7.0,31770.0,GQ,11,GNQ,Africa,778358,2. High income: nonOECD,Middle Africa,00000000000000000045,Eq. Guinea
