Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0.12209825081618976,0.013023847617137117,0.7354749964763253,0.0071796865837853,0.06597561058472563,3.2397434948649377E-4,8.411795116356056E-4,5.092830995301496E-4,0.009990634888321769,0.0034077329391206286,0.008211982253918303,0.012479727614319891,145744.87170000002,0.0,0.00658498641362487,0.0017673513791291772,0.01213075547274985,01779785,19,1084180812,00,IA,19,A,+42.0700243,4,2,Iowa,-093.4933473,G4000,144661267977,00000000000000000036
0.08641434864161271,0.010248390046805883,0.004890914546474675,0.0011299510651991804,0.77440504036894,0.0054737803069814595,0.002165331074387303,0.011394335074551116,0.016052695780235913,0.05918052653393128,0.007428903195334614,0.010889311803869432,62754.93,0.0,0.007111264405840307,0.001982631484092166,0.0012325756717440368,01779805,54,489028543,00,WV,54,A,+38.6472854,5,3,West Virginia,-080.6183274,G4000,62266474513,00000000000000000000
0.10389489660119432,0.020331280405086163,0.057757142893184774,0.0855684673768748,6.259953189959147E-4,0.03020284201890111,0.003743862885539331,0.16832471211763844,0.04651860631770152,0.003383456571737977,0.16894433983391702,0.03881493356035975,170079.70630000002,0.0,0.028141761319586657,0.007109521331528781,0.23663818144775334,00294478,12,31361101223,00,FL,12,A,+28.4574302,5,3,Florida,-082.4091477,G4000,138949136250,00000000000000000001
0.08357365854701576,0.0029637456344136976,0.17739890835695935,0.025057468227069106,0.20154414624133055,0.0018160602469856498,0.002000487063581623,0.016152057334750666,0.0564985382256752,0.04985385057935712,0.21921400001690042,0.041931094898171595,32129.275500000007,0.0,0.024832131680031184,0.008743667438128194,0.08842018550962966,01714934,24,6979966958,00,MD,24,A,+38.9466584,5,3,Maryland,-076.6744939,G4000,25151100280,00000000000000000004
0.07657175122433749,0.01834588361295811,0.14325437097052637,0.011478960312352626,0.18724655393286274,0.020311720418880685,0.002086136341276576,0.1303658948126857,0.05094919065420159,0.08265823130726997,0.096872808994007,0.025122309274696133,139383.74700000003,0.0,0.01252685436846521,0.003779292143724618,0.13843004163175493,01027616,37,13466071395,00,NC,37,A,+35.5397100,5,3,North Carolina,-079.1308636,G4000,125923656064,00000000000000000008
0.007973614033424175,0.0015582957583727484,0.3425378702839325,0.051636845847666334,0.031989960779952746,0.0012877302887974553,0.0022923597353466337,0.024382261721609014,0.051359485213201474,0.024226609006227764,0.2191988634016251,0.043500597765070266,6445.7597000000005,0.0,0.032113437303596656,0.011408011378395007,0.15453405748278204,01779781,10,1399985648,00,DE,10,A,+38.9985661,5,3,Delaware,-075.4416440,G4000,5045925646,0000000000000000000b
0.07388136654427424,0.039019403220442006,0.13274616134881764,0.014647726727250728,0.1319033241022603,0.03595733882244117,0.0019558795784021484,0.2508013177518726,0.03815924870873561,0.04561321962491639,0.02601447171724627,0.02599117086006822,153904.2093,0.0,0.011737136418919247,0.005325398205336805,0.16624683636901672,01705317,13,4422936154,00,GA,13,A,+32.6295789,5,3,Georgia,-083.4235109,G4000,149482048342,00000000000000000015
0.06880192083705573,0.03796127455999463,0.09909167697301309,0.030147129143132865,0.07907582615218026,0.03642366364552886,0.001912351876788303,0.2552357094057672,0.03978823309156825,0.041291976864686226,0.06095781375281903,0.026869120583631716,82909.271,0.0,0.012482184290343114,0.004108711798949481,0.20585240702454133,01779799,45,5075218778,00,SC,45,A,+33.8741776,5,3,South Carolina,-080.8542639,G4000,77864918488,0000000000000000001b
0.15273075907486316,0.026658146088387236,0.05759173387885687,0.00793606186751498,0.3162211802799607,0.01958664772692654,0.0016044613813343642,0.08536632022089982,0.031586883175359896,0.13533388738876215,0.07678142298501514,0.024153505157312707,110784.343,0.0,0.012829979954838925,0.003970796667539926,0.047648214152427655,01779803,51,8528531774,00,VA,51,A,+37.5222512,5,3,Virginia,-078.6681938,G4000,102257717110,00000000000000000034
0.0,8.316182149247222E-4,3.9490566048395445E-4,0.0015801875999622611,0.08591203716519882,0.0,0.0011858468975047502,0.0,0.10626126031966458,0.0015880970123324692,0.10212350773399292,0.1979692018781465,177.00429999999997,0.0,0.3563749581224864,0.13473232006228097,0.011046059333021855,01702382,11,18687198,00,DC,11,A,+38.9041031,5,3,District of Columbia,-077.0172290,G4000,158340391,00000000000000000035
