Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
11063.6819,42621.1155,99802.462,5731.0008,1901.3544,11294.2191,187.3188,118.7165,2460.3643,63.3165,6282.2045,481.6122,183105.9159,0,355.4765,68.6466,674.4263,01779797,38,4403267548,00,ND,38,A,+47.4421740,4,2,North Dakota,-100.4608258,G4000,178707534813,00000000000000000020
57066.6454,453.103,42036.657,575.4631,63550.6067,530.2604,209.6475,1299.8794,2589.1273,2235.2193,2368.8315,2740.4868,180539.6931,0,1449.3896,495.8589,2938.5172,01779791,29,2489425460,00,MO,29,A,+38.3507500,4,2,Missouri,-092.4567826,G4000,178050802184,0000000000000000002d
18974.7936,74907.2545,100320.576,425.3884,8018.8013,1964.1609,111.0326,29.1801,3267.254,293.5705,1294.8645,1781.15,213099.676,0,758.613,268.1719,684.8647,00481813,20,1344141205,00,KS,20,A,+38.4985464,4,2,Kansas,-098.3834298,G4000,211755344060,0000000000000000002f
15276.0463,95198.2031,67434.3898,3576.1379,632.502,3252.1311,1350.2787,5413.3954,2153.5667,123.8624,4199.1161,407.1443,199729.1654,0,298.0156,81.334,333.042,01785534,46,3382720225,00,SD,46,A,+44.4467957,4,2,South Dakota,-100.2381762,G4000,196346981786,00000000000000000032
17795.1939,1898.159,107191.709,1046.4025,9615.6069,47.2176,122.5976,74.2254,1456.0838,496.6596,1196.8543,1818.8563,145744.87170000002,0,959.728,257.5824,1767.9954,01779785,19,1084180812,00,IA,19,A,+42.0700243,4,2,Iowa,-093.4933473,G4000,144661267977,00000000000000000036
5422.9264,643.137,306.929,70.91,48597.7341,343.5067,135.8852,715.0507,1007.3858,3713.8698,466.2003,683.358,62754.93,0,446.2669,124.4199,77.3502,01779805,54,489028543,00,WV,54,A,+38.6472854,5,3,West Virginia,-080.6183274,G4000,62266474513,00000000000000000000
17670.4135,3457.9382,9823.3179,14553.4598,106.4691,5136.8905,636.7551,28628.6176,7911.8709,575.4573,28734.0037,6601.6325,170079.70630000002,0,4786.3425,1209.1853,40247.3524,00294478,12,31361101223,00,FL,12,A,+28.4574302,5,3,Florida,-082.4091477,G4000,138949136250,00000000000000000001
2685.1611,95.223,5699.6984,805.0783,6475.4674,58.3487,64.2742,518.9539,1815.2571,1601.7681,7043.187,1347.2157,32129.275500000007,0,797.8384,280.9277,2840.8765,01714934,24,6979966958,00,MD,24,A,+38.9466584,5,3,Maryland,-076.6744939,G4000,25151100280,00000000000000000004
10672.8576,2557.118,19967.331,1599.9805,26099.1263,2831.1237,290.7735,18170.8869,7101.4891,11521.214,13502.4951,3501.6416,139383.74700000003,0,1746.0399,526.7719,19294.8979,01027616,37,13466071395,00,NC,37,A,+35.5397100,5,3,North Carolina,-079.1308636,G4000,125923656064,00000000000000000008
51.396,10.0444,2207.9168,332.8387,206.1996,8.3004,14.776,157.1622,331.0509,156.1589,1412.9032,280.3944,6445.7597000000005,0,206.9955,73.5333,996.0894,01779781,10,1399985648,00,DE,10,A,+38.9985661,5,3,Delaware,-075.4416440,G4000,5045925646,0000000000000000000b
11370.6533,6005.2504,20430.193,2254.3468,20300.4768,5533.9858,301.0181,38599.3785,5872.869,7020.0665,4003.7367,4000.1506,153904.2093,0,1806.3947,819.6012,25586.0879,01705317,13,4422936154,00,GA,13,A,+32.6295789,5,3,Georgia,-083.4235109,G4000,149482048342,00000000000000000015
5704.3171,3147.3416,8215.6187,2499.4765,6556.1191,3019.8594,158.5517,21161.4066,3298.8134,3423.4877,5053.9679,2227.6992,82909.271,0,1034.8888,340.6503,17067.073,01779799,45,5075218778,00,SC,45,A,+33.8741776,5,3,South Carolina,-080.8542639,G4000,77864918488,0000000000000000001b
16920.1768,2953.3052,6380.2624,879.1914,35032.3557,2169.8939,177.7492,9457.2517,3499.3321,14992.8758,8506.1795,2675.8302,110784.343,0,1421.3609,439.9021,5278.6761,01779803,51,8528531774,00,VA,51,A,+37.5222512,5,3,Virginia,-078.6681938,G4000,102257717110,00000000000000000034
0,0.1472,0.0699,0.2797,15.2068,0,0.2099,0,18.8087,0.2811,18.0763,35.0414,177.00429999999997,0,63.0799,23.8482,1.9552,01702382,11,18687198,00,DC,11,A,+38.9041031,5,3,District of Columbia,-077.0172290,G4000,158340391,00000000000000000035
19380.1112,4871.7699,6486.0507,545.6079,24027.5646,4897.3633,315.5053,35284.9642,3845.762,12065.9291,4668.342,2199.2862,135765.5973,0,1111.2512,314.463,15751.6267,01779775,01,4593327154,00,AL,01,A,+32.7396323,6,3,Alabama,-086.8434593,G4000,131174048583,00000000000000000016
